id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
2859212;Gary Beauchamp|Howard Tanner|Sonia Jones|Steve Kennewell;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00244.x;;J. Comp. Assisted Learning;journals/jcal/KennewellTJB08;2011-04-04;;;1;61-73;;;;;;;Analysing the use of interactive technology to implement interactive teaching.;;;db/journals/jcal/jcal24.html#KennewellTJB08;24;2008
2859213;Aemilian Hron|Emmanuel Picard|Friedrich W. Hesse|Petra Reinhard;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1997.00017.x;;J. Comp. Assisted Learning;journals/jcal/ReinhardHHP97;2004-04-22;;;3;148-162;;;;;;;Manipulable graphics for computer-supported problem solving.;;;db/journals/jcal/jcal13.html#ReinhardHHP97;13;1997
2859214;Darina Dicheva|Paul Brna;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1998.1420081.x;;J. Comp. Assisted Learning;journals/jcal/BrnaD98;2004-04-22;;;2;81-82;;;;;;;Guest Editorial: Meeting the challenge of new technologies.;;;db/journals/jcal/jcal14.html#BrnaD98;14;1998
2859215;Michael Tscholl|Patrick Carmichael;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00459.x;;J. Comp. Assisted Learning;journals/jcal/CarmichaelT13;2013-02-13;;;1;31-42;;;;;;;Cases, simulacra, and Semantic Web technologies.;;;db/journals/jcal/jcal29.html#CarmichaelT13;29;2013
2859216;Chun-Chia Wang|Hui-Huang Hsu|Timothy K. Smith|Wen-Chih Chang;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00091.x;;J. Comp. Assisted Learning;journals/jcal/ChangHSW04;2004-08-25;;;4;305-316;;;;;;;Enhancing SCORM metadata for assessment authoring in e-Learning.;;;db/journals/jcal/jcal20.html#ChangHSW04;20;2004
2859217;Chris M. Lloyd|Mike Watts;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00065.x;;J. Comp. Assisted Learning;journals/jcal/WattsL04;2006-11-27;;;1;50-58;;;;;;;The use of innovative ICT in the active pursuit of literacy.;;;db/journals/jcal/jcal20.html#WattsL04;20;2004
2859218;Greg Michaelson|N. Tomes|Sandra P. Foubister;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1997.00012.x;;J. Comp. Assisted Learning;journals/jcal/FoubisterMT97;2004-04-22;;;2;99-108;;;;;;;Automatic assessment of elementary Standard ML programs using Ceilidh.;;;db/journals/jcal/jcal13.html#FoubisterMT97;13;1997
2859219;Roy Rada;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1998.143061.x;;J. Comp. Assisted Learning;journals/jcal/Rada98;2004-04-22;;;3;247-248;;;;;;;Virtual educational organisations.;;;db/journals/jcal/jcal14.html#Rada98;14;1998
2859220;B. Craft|D. Ljubojevic|Diana Laurillard|Dionisios Dimakopoulos|E. A. Whitley|E. Masterman|George D. Magoulas|K. Whittlestone|Patricia Charlton|R. Pujadas;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00458.x;;J. Comp. Assisted Learning;journals/jcal/LaurillardCCDLMMPWW13;2013-02-13;;;1;15-30;;;;;;;A constructionist learning environment for teachers to model learning designs.;;;db/journals/jcal/jcal29.html#LaurillardCCDLMMPWW13;29;2013
2859221;Andrée Tiberghien|Erica de Vries;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1997.00018.x;;J. Comp. Assisted Learning;journals/jcal/TiberghienV97;2004-04-22;;;3;163-174;;;;;;;Relating characteristics of teaching situations to learner activities.;;;db/journals/jcal/jcal13.html#TiberghienV97;13;1997
2859222;Beverly Plester|H. Rasku-Puttonen|Karen Littleton|L. J. Linjama|M.-K. Lerkkanen;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2010.00402.x;;J. Comp. Assisted Learning;journals/jcal/PlesterLLRL11;2011-04-07;;;1;37-48;;;;;;;Finnish and UK English pre-teen children's text message language and its relationship with their literacy skills.;;;db/journals/jcal/jcal27.html#PlesterLLRL11;27;2011
2859223;Martyn Wild|N. Adam;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1997.00014.x;;J. Comp. Assisted Learning;journals/jcal/AdamW97;2004-04-22;;;2;119-132;;;;;;;Applying CD-ROM interactive storybooks to learning to read.;;;db/journals/jcal/jcal13.html#AdamW97;13;1997
2859224;A. Mansaray|A. Rose|K. Allen|S. Hollingworth;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00431.x;;J. Comp. Assisted Learning;journals/jcal/HollingworthMAR11;2011-08-11;;;4;347-360;;;;;;;Parents' perspectives on technology and children's learning in the home: social class and the role of the habitus.;;;db/journals/jcal/jcal27.html#HollingworthMAR11;27;2011
2859225;Celia Hoyles|Gordon Simpson|Richard Noss;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2006.00164.x;;J. Comp. Assisted Learning;journals/jcal/SimpsonHN06;2010-12-13;;;2;114-136;;;;;;;Exploring the mathematics of motion through construction and collaboration.;;;db/journals/jcal/jcal22.html#SimpsonHN06;22;2006
2859226;C. P. Lim;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2001.00173.x;;J. Comp. Assisted Learning;journals/jcal/Lim01;2004-08-25;;;2;206-216;;;;;;;Visualisation and animation in a CAL package: anchors or misconceptions?;;;db/journals/jcal/jcal17.html#Lim01;17;2001
2859227;C.-H. Li;;;;;;;http://dx.doi.org/10.1111/jcal.12019;;J. Comp. Assisted Learning;journals/jcal/Li14;2014-03-25;;;1;17-29;;;;;;;An alternative to language learner dependence on L2 caption-reading input for comprehension of sitcoms in a multimedia learning environment.;;;db/journals/jcal/jcal30.html#Li14;30;2014
2859228;H. Broekkamp|M. J. R. de Smet|Paul A. Kirschner|Saskia Brand-Gruwel;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00418.x;;J. Comp. Assisted Learning;journals/jcal/SmetBBK11;2011-11-14;;;6;557-574;;;;;;;Effects of electronic outlining on students' argumentative writing performance.;;;db/journals/jcal/jcal27.html#SmetBBK11;27;2011
2859229;C. Dowling;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2002.00218.x;;J. Comp. Assisted Learning;journals/jcal/Dowling02;2004-08-25;;;2;112-113;;;;;;;Regional Report: Australia.;;;db/journals/jcal/jcal18.html#Dowling02;18;2002
2859230;A. Weinberger|Pantelis M. Papadopoulos|Stavros N. Demetriadis;;;;;;;http://dx.doi.org/10.1111/jcal.12014;;J. Comp. Assisted Learning;journals/jcal/PapadopoulosDW13;2013-08-29;;;4;383-398;;;;;;;'Make it explicit!': Improving collaboration through increase of script coercion.;;;db/journals/jcal/jcal29.html#PapadopoulosDW13;29;2013
2859231;Mike Sharples|Russell Beale;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2003.00040.x;;J. Comp. Assisted Learning;journals/jcal/SharplesB03;2005-03-03;;;3;392-395;;;;;;;A technical review of mobile computational devices.;;;db/journals/jcal/jcal19.html#SharplesB03;19;2003
2859232;J. P. Leung|K. Chamberlain;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2001.00170.x;;J. Comp. Assisted Learning;journals/jcal/LeungC01;2004-08-25;;;2;177-185;;;;;;;Learning about psychological professions with the world-wide web.;;;db/journals/jcal/jcal17.html#LeungC01;17;2001
2859233;Heinz Ulrich Hoppe|Juan Perez|Marcelo Milrad|Niels Pinkwart;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2003.00039.x;;J. Comp. Assisted Learning;journals/jcal/PinkwartHMP03;2004-08-25;;;3;383-391;;;;;;;Educational scenarios for cooperative use of Personal Digital Assistants.;;;db/journals/jcal/jcal19.html#PinkwartHMP03;19;2003
2859234;A. Williams|L. Katz;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2002.00243.x;;J. Comp. Assisted Learning;journals/jcal/KatzW02;2004-08-25;;;3;320-329;;;;;;;Pioneering the electronic school by using focus groups for planning.;;;db/journals/jcal/jcal18.html#KatzW02;18;2002
2859235;Jan Derry;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00246.x;;J. Comp. Assisted Learning;journals/jcal/Derry07;2011-04-14;;;6;503-510;;;;;;;Epistemology and conceptual resources for the development of learning technologies.;;;db/journals/jcal/jcal23.html#Derry07;23;2007
2859236;Bart Rienties|Bas Giesbers|Dirk T. Tempelaar|Wim Gijselaers;;;;;;;http://dx.doi.org/10.1111/jcal.12020;;J. Comp. Assisted Learning;journals/jcal/GiesbersRTG14;2014-03-25;;;1;30-50;;;;;;;A dynamic analysis of the interplay between asynchronous and synchronous communication in online learning: The impact of motivation.;;;db/journals/jcal/jcal30.html#GiesbersRTG14;30;2014
2859237;Analía Amandi|Patricio García|Silvia N. Schiaffino;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00262.x;;J. Comp. Assisted Learning;journals/jcal/GarciaSA08;2011-04-04;;;4;305-315;;;;;;;An enhanced Bayesian model to detect students' learning styles in Web-based courses.;;;db/journals/jcal/jcal24.html#GarciaSA08;24;2008
2859238;Dominique Leclet|Gérard Weidenfeld;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1998.1420140.x;;J. Comp. Assisted Learning;journals/jcal/LecletW98;2004-04-22;;;2;140-147;;;;;;;Training for strategic decision making in professional contexts.;;;db/journals/jcal/jcal14.html#LecletW98;14;1998
2859239;Z. Li;;;;;;;http://dx.doi.org/10.1111/jcal.12002;;J. Comp. Assisted Learning;journals/jcal/Li13;2013-04-16;;;3;280-291;;;;;;;Natural, practical and social contexts of e-learning: a critical realist account for learning and technology.;;;db/journals/jcal/jcal29.html#Li13;29;2013
2859240;Haider Ali Ramadhan;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.2000.00118.x;;J. Comp. Assisted Learning;journals/jcal/Ramadhan00;2004-04-26;;;1;83-93;;;;;;;Programming by discovery.;;;db/journals/jcal/jcal16.html#Ramadhan00;16;2000
2859241;Geoff Cumming;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1998.1440251.x;;J. Comp. Assisted Learning;journals/jcal/Cumming98;2004-04-22;;;4;251-259;;;;;;;Artificial intelligence in education: an exploration.;;;db/journals/jcal/jcal14.html#Cumming98;14;1998
2859242;Alona Forkosh-Baruch|David Mioduser|Dorit Tubin|Rafi Nachmias;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2002.00252.doc.x;;J. Comp. Assisted Learning;journals/jcal/MioduserNTF02;2013-11-06;;;4;405-414;;;;;;;Models of pedagogical implementation of ICT in Israeli schools.;;;db/journals/jcal/jcal18.html#MioduserNTF02;18;2002
2859243;D. Mwanza;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2001.00214.x;;J. Comp. Assisted Learning;journals/jcal/Mwanza02;2004-08-25;;;1;84-92;;;;;;;Conceptualising work activity for CAL systems design.;;;db/journals/jcal/jcal18.html#Mwanza02;18;2002
2859244;Jo Tondeur|Johan van Braak|Martin Valcke;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2008.00285.x;;J. Comp. Assisted Learning;journals/jcal/TondeurVB08;2011-04-04;;;6;494-506;;;;;;;A multidimensional approach to determinants of computer use in primary education: teacher and school characteristics.;;;db/journals/jcal/jcal24.html#TondeurVB08;24;2008
2859245;D. Hoppe|Makiko Sadakata|Peter Desain;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2006.00178.x;;J. Comp. Assisted Learning;journals/jcal/HoppeSD06;2012-05-20;;;4;308-316;;;;;;;Development of real-time visual feedback assistance in singing training: a review.;;;db/journals/jcal/jcal22.html#HoppeSD06;22;2006
2859246;Gérald Collaud|Jean-Luc Gurtner|Perre-François Coen;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.2000.00125.x;;J. Comp. Assisted Learning;journals/jcal/CollaudGC00;2004-04-26;;;2;137-147;;;;;;;Design and use of a hypermedia system at the University level.;;;db/journals/jcal/jcal16.html#CollaudGC00;16;2000
2859247;Adrian Kirkwood;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00265.x;;J. Comp. Assisted Learning;journals/jcal/Kirkwood08;2011-04-04;;;5;372-382;;;;;;;Getting it from the Web: why and how online resources are used by independent undergraduate learners.;;;db/journals/jcal/jcal24.html#Kirkwood08;24;2008
2859248;Els Kuiper|Monique Volman|Sandra de Koster;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00452.x;;J. Comp. Assisted Learning;journals/jcal/KosterKV12;2012-11-02;;;5;454-464;;;;;;;Concept-guided development of ICT use in 'traditional' and 'innovative' primary schools: what types of ICT use do schools develop?;;;db/journals/jcal/jcal28.html#KosterKV12;28;2012
2859249;Roger Säljö;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2009.00341.x;;J. Comp. Assisted Learning;journals/jcal/Saljo10;2011-04-04;;;1;53-64;;;;;;;Digital tools and challenges to institutional traditions of learning: technologies, social memory and the performative nature of learning.;;;db/journals/jcal/jcal26.html#Saljo10;26;2010
2859250;C. Chou|Janet Morahan-Martin|Karen Littleton|Richard W. Joiner;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2006.00195.x;;J. Comp. Assisted Learning;journals/jcal/JoinerLCM06;2011-02-20;;;5;317-319;;;;;;;Gender and information communication technology.;;;db/journals/jcal/jcal22.html#JoinerLCM06;22;2006
2859251;Roger Hartley;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00044.x;;J. Comp. Assisted Learning;journals/jcal/Hartley04;2004-08-25;;;2;160;;;;;;;Book review.;;;db/journals/jcal/jcal20.html#Hartley04;20;2004
2859252;E. G. Cunningham|Jason L. Skues;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2012.00488.x;;J. Comp. Assisted Learning;journals/jcal/SkuesC13;2013-04-16;;;2;179-187;;;;;;;The role of e-learning coaches in Australian secondary schools.;;;db/journals/jcal/jcal29.html#SkuesC13;29;2013
2859253;Tzu-Hua Wang;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2006.00211.x;;J. Comp. Assisted Learning;journals/jcal/Wang07;2011-04-14;;;3;171-186;;;;;;;What strategies are effective for formative assessment in an e-learning environment?;;;db/journals/jcal/jcal23.html#Wang07;23;2007
2859254;Sonmez Pamuk;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00447.x;;J. Comp. Assisted Learning;journals/jcal/Pamuk12;2012-11-02;;;5;425-439;;;;;;;Understanding preservice teachers' technology use through TPACK framework.;;;db/journals/jcal/jcal28.html#Pamuk12;28;2012
2859255;Gustavo Zurita|Miguel Nussbaum;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00089.x;;J. Comp. Assisted Learning;journals/jcal/ZuritaN04;2004-08-25;;;4;235-243;;;;;;;A constructivist mobile learning environment supported by a wireless handheld network.;;;db/journals/jcal/jcal20.html#ZuritaN04;20;2004
2859256;Dwayne E. Paré|Steve Joordens;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2008.00290.x;;J. Comp. Assisted Learning;journals/jcal/PareJ08;2011-04-04;;;6;526-540;;;;;;;Peering into large lectures: examining peer and expert mark agreement using peerScholar, an online peer assessment tool.;;;db/journals/jcal/jcal24.html#PareJ08;24;2008
2859257;Lars-Erik Malmberg|Rebecca Eynon;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00460.x;;J. Comp. Assisted Learning;journals/jcal/EynonM12;2012-12-06;;;6;514-529;;;;;;;Understanding the online information-seeking behaviours of young people: the role of networks of support.;;;db/journals/jcal/jcal28.html#EynonM12;28;2012
2859258;Dale M. Holt|Stuart R. Palmer;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2008.00294.x;;J. Comp. Assisted Learning;journals/jcal/PalmerH09;2011-04-04;;;2;101-113;;;;;;;Examining student satisfaction with wholly online learning.;;;db/journals/jcal/jcal25.html#PalmerH09;25;2009
2859259;Anne McDougall;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2001.00176.x;;J. Comp. Assisted Learning;journals/jcal/McDougall01;2004-08-25;;;3;223-226;;;;;;;Guest editorial: assessing learning with ICT.;;;db/journals/jcal/jcal17.html#McDougall01;17;2001
2859260;Carita Kiili;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2012.00492.x;;J. Comp. Assisted Learning;journals/jcal/Kiili13;2013-04-16;;;3;248-259;;;;;;;Argument graph as a tool for promoting collaborative online reading.;;;db/journals/jcal/jcal29.html#Kiili13;29;2013
2859261;Chang Zhu|Guoyuan Sang|Jo Tondeur|Johan van Braak|Martin Valcke;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2010.00383.x;;J. Comp. Assisted Learning;journals/jcal/SangVBTZ11;2011-04-07;;;2;160-172;;;;;;;Predicting ICT integration into classroom teaching in Chinese primary schools: exploring the complex interplay of teacher-related variables.;;;db/journals/jcal/jcal27.html#SangVBTZ11;27;2011
2859262;Chih-Hung Lai|Chin-Wen Ho|Fei Ching Chen|Jie-Chi Yang|Tak-Wai Chan;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00237.x;;J. Comp. Assisted Learning;journals/jcal/LaiYCHC07;2011-04-15;;;4;326-337;;;;;;;Affordances of mobile technologies for experiential learning: the interplay of technology and pedagogical practices.;;;db/journals/jcal/jcal23.html#LaiYCHC07;23;2007
2859263;Bracha Kramarski|C. Hirsch;;;;;;;http://dx.doi.org/10.1046/j.0266-4909.2003.00004.x;;J. Comp. Assisted Learning;journals/jcal/KramarskiH03;2004-08-25;;;1;35-45;;;;;;;Using computer algebra systems in mathematical classrooms.;;;db/journals/jcal/jcal19.html#KramarskiH03;19;2003
2859264;Andrew Rostron|Annie Trapp|Nicholas Hammond|Richard Plant|Rüdiger Oehlmann|Will Stevenson;;;;;;;http://dx.doi.org/10.1046/j.1365-2729.1999.00109.x;;J. Comp. Assisted Learning;journals/jcal/PlantHTRSO99;2004-04-22;;;4;335-336;;;;;;;Virtual practical work: potential and problems.;;;db/journals/jcal/jcal15.html#PlantHTRSO99;15;1999
2859265;Valerie Rhodes;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00079.x;;J. Comp. Assisted Learning;journals/jcal/Rhodes04;2004-08-25;;;4;317-;;;;;;;Screen Play: Children and Computing in the Home.;;;db/journals/jcal/jcal20.html#Rhodes04;20;2004
2859266;Roy Barton|Terry Haydn;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2006.00175.x;;J. Comp. Assisted Learning;journals/jcal/BartonH06;2010-12-13;;;4;257-272;;;;;;;Trainee teachers' views on what helps them to use information and communication technology effectively in their subject teaching.;;;db/journals/jcal/jcal22.html#BartonH06;22;2006
2859267;Baohui Zhang|Xiang-Yang Lin|Xiaoqing Gu|Xuelian Song;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2008.00291.x;;J. Comp. Assisted Learning;journals/jcal/GuZLS09;2011-04-04;;;2;114-125;;;;;;;Evaluating online solutions for experiential support of distance learning by teachers in China.;;;db/journals/jcal/jcal25.html#GuZLS09;25;2009
2859268;D. L. Elliot|Julia Kathleen Davidson;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00250.x;;J. Comp. Assisted Learning;journals/jcal/DavidsonE07;2011-04-14;;;6;511-522;;;;;;;A comparison of e-learning in Scotland's colleges and secondary schools: the case of National Qualifications in 'Core Skills'.;;;db/journals/jcal/jcal23.html#DavidsonE07;23;2007
2859269;Andrew Kwok-Fai Lui|Nancy Law|Siu Cheung Li;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2006.00187.x;;J. Comp. Assisted Learning;journals/jcal/LiLL06;2013-11-05;;;6;405-422;;;;;;;Cognitive perturbation through dynamic modelling: a pedagogical approach to conceptual change in science.;;;db/journals/jcal/jcal22.html#LiLL06;22;2006
2859270;;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2004.00069.x;;J. Comp. Assisted Learning;journals/jcal/X04;2004-08-25;;;1;1-3;;;;;;;Editorial.;;;db/journals/jcal/jcal20.html#X04;20;2004
2859271;Richard Noss;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2011.00466.x;;J. Comp. Assisted Learning;journals/jcal/Noss13;2013-02-13;;;1;1-3;;;;;;;Special Issue on knowledge transformation, design and technology : Three papers from the Technology-Enhanced Learning Research Programme.;;;db/journals/jcal/jcal29.html#Noss13;29;2013
2859272;Helge I. Strømsø|Kirsten Hofgaard Lycke|P. Grøttum;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00221.x;;J. Comp. Assisted Learning;journals/jcal/StromsoGL07;2011-04-14;;;3;271-282;;;;;;;Content and processes in problem-based learning: a comparison of computer-mediated and face-to-face communication.;;;db/journals/jcal/jcal23.html#StromsoGL07;23;2007
2859273;Alison Twiner|Judith Kleine Staarman|Julia Gillen|Karen Littleton|Neil Mercer;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00269.x;;J. Comp. Assisted Learning;journals/jcal/GillenLTSM08;2011-04-04;;;4;348-358;;;;;;;Using the interactive whiteboard to resource continuity and support multimodal teaching in a primary science classroom.;;;db/journals/jcal/jcal24.html#GillenLTSM08;24;2008
2859274;Gerhard Fischer|Shin'ichi Konomi;;;;;;;http://dx.doi.org/10.1111/j.1365-2729.2007.00238.x;;J. Comp. Assisted Learning;journals/jcal/FischerK07;2011-04-14;;;4;338-350;;;;;;;Innovative socio-technical environments in support of distributed intelligence and lifelong learning.;;;db/journals/jcal/jcal23.html#FischerK07;23;2007
